"title","link","text"
"他存款剩六十萬被親戚勸買房 父母爆氣幫回擊","/news/story/7266/3358798","一名網友在臉書社團《爆廢公社》發文，表示自己工作7年的存款，結婚和小孩出生各花一筆，林林總總的生活費扣掉後約剩60餘萬元，但被遠親逼著推銷買房，讓他苦嘆「60萬買房是要買樂高嗎？」，沒想到還沒回話，網友的父母就已爆氣幫忙反擊，嚇得遠親不敢再吭聲。

存款剩六十萬被勸買房，網友嘆「買樂高比較快」。 圖／聯合報系資料照片分享  facebook   

而近日有只見過一次面的遠親到訪家中，對方竟在閒聊時劈頭就說，「你們倆夫妻應該要搬出去住比較好吧？因為畢竟房子是父母的，既然都已成家，就應該買棟屬於自己的房子」。該名網友當下回應「我存款不夠啊，也不想貸款，而且家裡生活還不錯，不會很飽，但餓不死」，沒想到親戚聽完還是不放棄，還追著說「長大了，不能說這種不負責任的話。」

該網友還來不及反應，一旁網友的爸媽就先爆氣說出：「啊家裡那麼大，還有好幾間空房間，而且他們就生一個孩子，他又算獨子，想請問一下，那你們孩子有買房嗎？沒有嘛！那你們孩子有不負責任嗎？之前已經有買幾塊農地幫你孩子做業績了，講話真的不要太推銷。日久不見，一見必有因嗎？」這樣連環轟嚇傻了網友與其妻子，親戚見氣氛不對也趕緊轉移話題。

事後其妻子還對他說「我不知道爸媽有地雷，打從嫁過來，他們都對我笑笑的」，他則回，「我也不知道，歐麥嘎」。原PO最後也強調，並不是不想買房，「但是我這樣的存款就只能買樂高了，要逼死誰？」他也在留言處透露，其實遠親的兒子是房仲，遠親則是上班族，重點要推銷，兒子也沒來，讓他非常傻眼。不少網友看完則羨慕發文的網友有一對「很棒很挺很罩的父母親」，還稱其父母「帥呆了」！"
"台灣附近熱低不排除成颱 本周恐接連兩颱威脅","/news/story/7266/3358506","遠在3千公里外的山竹颱風讓大家提心吊膽，但中央氣象局表示現在在台灣附近的熱帶性低氣壓也不排除今、明天兩天增強成颱風，且因位置靠近台灣，一旦成為颱風便可能立刻發布警報，也不排除暴風圈觸陸的可能。也就是說，本周台灣可能接連有兩個颱風的威脅。

氣象局表示，目前台灣東南方海面有一熱帶性低氣壓發展，預估今、明將逐漸往西移動通過巴士海峽，今受到該熱帶性低氣壓與外圍環流影響，北部、東半部及恆春半島整天都會有陣雨或雷雨，局部地區並可能仍有大雨或豪雨發生的機率，提醒民眾留意山區含水量多土石易鬆動，避免前往活動。若這個熱低成颱，為今年第23號颱風，將被命名為百里嘉（Barijat）。
氣象局說，入夜之後北部及東北部的降雨會趨於緩和，主要降雨區域會移至花東地區及恆春半島；而中南部地區主要為雲量多，午後有局部短暫雷陣雨的天氣；氣溫方面，清晨各地低溫約22到25度，白天高溫北部及東半部因為降雨，高溫約在28到30度，其他地區高溫約在30到32度。
氣象局說，受熱帶性低氣壓外圍環流影響，嘉義以北、東半部、恆春半島及各外島沿海、空曠地區及鄰近海域有8至10級強陣風，且風浪較大，海邊活動請注意安全。
至於中颱「山竹」動向，氣象局表示其目前距離仍約有3000公里，預估未來持續朝西移動，並有增強為強度颱風的可能，將在周六、周日最接近台灣，由於颱風路徑預報存在不確定性。氣象局與氣象專家最新分析，最新預測路徑稍微偏南，影響可能減小。
中央氣象局副局長鄭明典在臉書貼文，指出目前位於台灣東南側的熱帶性低氣壓對流增強，旋轉特徵更明顯。圖／擷自鄭明典臉書分享  facebook   "
"氣象局：熱低壓若明午前成颱 將發海陸警報","/news/story/7266/3359260","熱帶性低氣壓與中颱山竹接力威脅台灣，中央氣象局預報中心主任呂國臣說明，熱低壓今明天通過台灣南端，若明午前增強為輕颱，氣象局將立即發布海上陸上颱風警報，山竹颱風持續向西移動，未來可能增強為強颱、暴風半徑擴大，本周六、日影響台灣。
呂國臣表示，熱低壓預估將往東沙移動，不會直接侵襲台灣，但對東南部、恆春半島有影響，今晚至明天往西走，有可能在進入巴士海峽時增強為颱風，不排除發布海上與陸上颱風警報，恆春半島、花東地區會有豪雨，台東山區、恆春半島預估累積雨量會達150至300毫米。
山竹颱風方面，呂國臣表示，山竹颱風未來一周會持續增強，未來可能增強為強颱，暴風半徑也會擴大，各國預報都是往西移動，變數會發生在14日起，各國預報分歧，但最大雨勢都是集中在15日。
根據目前美國、歐洲等預報路徑，山竹颱風13日前都會往西走，但14日以後山竹颱風會往北或往南有仍分歧。不過根據歷史相似個案，2013年天兔颱風路徑較偏難，東半部累積雨量就已達到685毫米，2016年莫蘭蒂颱風從南台灣擦邊，高雄影響較大；若再往北，例如1982年的安迪颱風，中南部就會受到影響。山竹颱風持續往西移動。圖／氣象局提供分享  facebook   "
"又有熱低壓逼近！北部、東半部防局部豪雨","/news/story/7266/3358489","今起三天受到熱帶性低氣壓影響，從北到南將有明顯雨勢。中央氣象局表示，位在鵝鑾鼻東南東方240公里海面上的低氣壓，昨天下午2時增強為熱帶性低氣壓，雖然持續增強為颱風機率不高，但仍不能排除，若一旦成為輕颱就會立刻發佈海上颱風警報，預估未來將逐漸通過南端近海，但發展程度及走向仍有不確定性。
氣象局表示，熱帶性低氣壓今明兩天滯留後將往西穿過巴士海峽，台灣今起到周三受到熱低壓及外圍環流影響，今天基隆北海岸、新北市山區及宜蘭地區將有局部大雨或豪雨，入夜後北部轉為間歇性短暫雨勢，但明顯雨區將轉移至花東及恆春半島，同樣將有大雨或豪雨並持續到周三。
氣象局表示，今天受到東北風影響氣溫仍偏舒適，各地低溫都只有23至25度，高溫方面北部及東北部約28至30度、中南部地區高溫仍上看32度。明、後天高溫將逐漸回升，北台灣仍有局部短暫雨，中部則是午後陣雨，周四、五北部轉為午後陣雨，北部高溫會回升到32至33度，各地天氣也轉為穩定，只有東半部、北部山區有零星降雨。
至於昨天增強為中颱的山竹，氣象局預估最快明天增強為強烈颱風，周、六日北部及東半部受外圍環流影響，將有短暫陣雨或雷雨，氣象局目前預估，山竹颱風仍偏向從巴士海峽通過，但因山竹仍有增強趨勢，未來走向與影響仍需觀察。山竹颱風潛勢圖。圖／擷取自中央氣象局網站分享  facebook   "
"買一送一來了！星巴克、伯朗9月這幾天「好友分享日」","/news/story/7270/3359700","揮別夏日，步入氣溫微涼的秋季，窩在咖啡館或外帶捧著熱咖啡，是許多人喜歡的日常小事。咖啡館分享日又來了，星巴克宣布9月14日推出買一送一，伯朗咖啡亦於9月17日及25日祭出買一送一。
星巴克規畫「Summer Bye Bye」揪一揪好友分享活動，9月14日當天早上11點至晚間8點，購買容量、冰熱及口味一致的飲品，享買一送一，每人至多買二送二，需注意機場門市、高鐵站內門市等部分門市不提供優惠，且不適用外送外賣及預訂服務。
此外，伯朗咖啡館也推有9月分享日，除了9月17日外，為了犒賞上班族，中秋連假後開工日9月25日加碼買一送一，以原價購買飲品任一杯，即贈送飲品任一杯，飲品不限品項、容量。伯朗咖啡將於9月17日、9月25日推出買一送一。圖／擷取自伯朗咖啡館官方粉絲團分享  facebook   9月14日星巴克祭出買一送一。圖／擷取自星巴克咖啡粉絲團分享  facebook   "
"一張圖看未來一周台灣天氣受到哪些影響","/news/story/7266/3358505","中央氣象局臉書粉專「報天氣」以一張圖說明現在及未來影響台灣的天氣系統，小編說，知道大家好關心山竹颱風下個周末會不會影響到台灣，但現在颱風離台灣還很遠，我們先關心一下家門口的熱帶性低氣壓。
－周一到周三(9月10日-9月12日):
位於台灣東南方的熱帶性低氣壓將通過巴士海峽，受低壓的環流影響，北部、南部及東半部有陣雨，尤其東半部雨勢明顯，但隨著低壓西進降雨熱區會有些改變。周一白天仍為東北風，宜蘭、東北角有大雨、豪雨；周一晚到周二則換成花東、恆春半島發生大雨、豪雨的機會增加，週三低壓遠離，各地降雨逐漸趨緩。
－周四、周五(9月13日、9月14日):
水氣減少，各地大致為多雲到晴，只有東半部和南部偶有短暫雨，不過中午過後西半部還是會有些雷陣雨。這兩天算是這周天氣較穩定的時期。
－周六、周日(9月15日、9月16日):
山竹颱風逐漸抵達台灣周遭，天氣又再度轉為不穩定。不過颱風對於台灣的影響，因為路徑存在變數，氣象局會密切留意。影響台灣的天氣系統。圖／擷自中央氣象局臉書粉專「報天氣」分享  facebook   "
"賴清德提「三點期許」 專家批：氣象局不是賴神","/news/story/7266/3359817","熱帶性低氣壓與中颱山竹接力威脅台灣，行政院長賴清德今天下午視察氣象局提出「三點期許」，希望氣象局能做到最正確的預報、最即時的預報、最全面的服務，更強調希望能提高警覺，「掌握每一分鐘的變化」，氣象局表示準確預報是追求的目標，氣象局持續發展數值預報模式，並加強監測技術，不過氣象專家認為「氣象局不是賴神」，這些需求已超過目前科技人力。
賴清德今視察氣象局時，先感謝氣象局面對颱風與豪大雨不眠不休，除了感謝人員辛勞也期許氣象局能做到三點。第一、做正確的預報，無論颱風路徑、雨量或雨下在哪裡，一定要提供最準確的預報；第二、提供最即時的預報，科技愈來愈發達、氣候變遷也愈來愈嚴重，瞬間差異非常大，必須提高警覺，應能將訊息及時提供給社會。
賴清德表示，第三點是提供「最全面的服務」，他說，氣象資料不只是政府需要，士農工商無論海域、山上、陸地，各行各業都需要，訊息也必須提供給各行各業。賴清德也說，由於熱低壓、颱風後續變化尚難全部預測，後續的變化可能帶來進一步災情，中央政府各部會及地方政府要嚴正以待，既然路徑、通過時間已經知道，要做到超前部署。
不過，中央大學大氣科學系兼任副教授吳德榮質疑「賴揆提出三個需求，氣象局就默默接受了？」他說，氣象局應反問「院長願意給我們什麼資源？讓我們可以做到全世界一流，美國都做不到的預報。」吳德榮說，這是就事論事，沒有給氣象局那麼多的資源，提出這些需求就做得到嗎？
吳德榮說，氣象局礙於情面不敢違逆長官，但「氣象局不是賴神、更不是氣象神」，三點需求無論是「最正確」或「最即時」，都已超過目前科技能力，氣象局是下屬單位只能勉強去做，但如果不提供氣象局最好的資源，這是絕對做不到的。
吳德榮說，氣象局的預報對台灣來說已經是最正確的，全世界沒有人幫台灣報、也沒得比較，很可惜的是，如果給不了氣象局最好的資源，賴揆該問的是「要達到這些目標，氣象局需要什麼資源？」才是一個好長官，既可達到目的，又可以不提出空泛、做不到的需求。台灣南、北部接連豪雨成災，再加上熱帶性低氣壓與「山竹」颱風來勢洶洶，行政院長賴清德今天(10日)下午特地到中央氣象局視察，聽取氣象報告，並要求各單位嚴陣以待。記者謝育炘／攝影分享  facebook   "
"唐綺陽星座運勢週報：雙子有貴人運 水瓶不要太耿直","/news/story/7268/3358509","星座專家唐綺陽。 大慕影藝提供分享  facebook   




 
本週金星入天蠍，將與木星相合，有暗黑氣息的藝術、美感會受到矚目，活絡經濟、大錢之間的流動，大型投資案開始<U+5553>動，也會放大金錢與兩性等議題。火星進入水瓶，容易遇到奧客，網路、網紅活躍，群眾力量大。當心與陌生人擦槍走火，高危險場合應更注意安全。
 


 
雙子：有長輩貴人運，說出困擾有機會得到解決
處女：從尊重、學習的角度和員工溝通相處
天蠍：小心有卡關的現象，把它視成修練、精進自己的過程
水瓶：不要太耿直，有可能遇到不誠實的人
 


 
白羊：感情上有良好的互動，對方才是真命天子
巨蟹：有機會從朋友變情人，玩樂時應自制，避免突發狀況
獅子：同情或是愛情要務實評估
射手：容易吸引年輕型的桃花
 



天秤：避免被忌妒，低調一點比較好
魔羯：正財運，有機會上門，賺錢機率高
 
 

 
金牛：慎防過勞、中暑等狀況
雙魚：小心細菌感染，遠離致病的危險源
 



周運影片連結：唐綺陽官方專屬頻道 
"
"系統錯誤！迪卡儂千元外套標0元 客服：願正常出貨","/news/story/7270/3359070","全球第二大運動品牌法商迪卡儂上週六系統出錯，將標價定為0元，不少民眾看見，直呼「這是宣傳活動吧？」因為不是金錢少一個數字，而是以0元來賣。迪卡儂客服中心今天發信通知給會員們，坦承是資訊系統發生錯誤所導致的，並非促銷或出清等宣傳活動，依據法律規定，仍會正常出貨給，訂單將不會要求民眾支付。
有民眾指出，迪卡儂將一件男防風防水保暖三合一的外套，原價1999元標價為0元，當下他覺得非常不可思議，研究了好久，還一度思考，會不會網站遭駭客入侵，後來仍買了一件，並購買其他衣服、褲子，結帳時，發現系統至算其他的衣服、褲子，並沒有算到外套的價格。
對此，迪卡儂也發信給會員，告知上週六起所標價為0元的商品，目前商品正在出貨中。由於這是資訊系統發生錯誤所導致的，並非促銷或出清等宣傳活動，依據法律規定，仍會正常出貨，訂單將不會要求支付。若民眾尚未取貨，或者包裹尚未送達(宅配)，建議民眾不要取貨或請宅配原包裹退回，以減少迪卡儂的損失。
迪卡儂客服也說，由於民眾花費時間搜尋購物，此部分消費經驗造成不必要的誤會， 我們深表歉意。民眾仍有權利以0元價格擁有這些商品，若民眾願意協助不要取貨，迪卡儂將致上萬分謝意。全球第二大運動品牌法商迪卡儂上週六系統出錯，將標價定為0元，不少民眾看見，直呼「這是宣傳活動吧？」圖／翻攝自網路分享  facebook   "
"今日星座運勢／天蠍談情說愛好日子 事業平宜守成","/news/story/7268/3355698","圖／ingimage分享  facebook   


總運：★★★☆☆
愛情：★★☆☆☆
財運：★★★☆☆
工作：★★★☆☆

貴人星座：金牛座
幸運數字：5
吉時吉色：13:00-15:00香吉士黃
開運方位：西南方向

運勢提醒：
比較平和的一天，沒有什麼事情發生。

綜合運分析：
愛情上過於平淡，會讓人產生疲倦的感覺，要加入一點新鮮的氣息。財運上一般，正財收入穩定，需要注意做好支出預算。工作上你的努力獲得肯定，讓你感到欣慰。

愛情運分析：
有點憂鬱擔心的日子，容易受到外力干擾而改變心意。

事業運分析：
過於敏感，很多簡單的問題被你複雜化，困在自己設下的陷阱裡不能自拔。

財運分析：
在投資上不宜太過冒險。




總運：★★★☆☆
愛情：★★★★☆
財運：★★☆☆☆
工作：★★☆☆☆

貴人星座：巨蟹座
幸運數字：1
吉時吉色：11:00-12:00石榴紅
開運方位：西北方向

運勢提醒：
愛情漲幅不錯。

綜合運分析：
單身男士異性緣很不錯，公司的公眾場合是你尋覓愛情的好處所；投資運平平，今天還是做些輔助性工作就好，不可冒險行動；理性思考今天顯得尤為重要，會遇到熱心過頭的合作者，對方雖是無心之失，對你卻會造成不小的損失。

愛情運分析：
你不經意的關心問候，另一半都能感動半天，這也讓你獲得更多的關心，彼此都感到幸福。

事業運分析：
情緒顯得很急躁，心裡雖很想做好，卻耐心不足、急於求成，工作上看不到任何效果，會使得你壓力倍增。

財運分析：
今日金錢上受到外力的干擾而產生錯誤的決定，例如：受人慫恿等等。




總運：★★★☆☆
愛情：★★★★☆
財運：★★★☆☆
工作：★★★★☆

貴人星座：天蠍座
幸運數字：3
吉時吉色：07:00-08:00葡萄紫
開運方位：正南方向

運勢提醒：
故地重遊有助於愛情運勢的增長。

綜合運分析：
和戀人去你們第一次約會或第一次接吻的地方約會吧，那份甜蜜與羞澀的復甦會迅速點燃你們的激情；與朋友出去狂歡時，如果你不想酒後亂性那就盡量少喝點；今天的思維會比較活躍，對從事設計的人有助於發揮靈感。

愛情運分析：
單身者常有朋友邀約一起喝茶聊天，也因此結識了不少異性朋友，有機會展開一段戀情。

事業運分析：
心情很好，良好的心境讓你做起事來也特別有勁，只是要注意別興奮過度唷！

財運分析：
有打腫臉充胖子的傾向，荷包留不住錢。




總運：★★★☆☆
愛情：★★★☆☆
財運：★★★☆☆
工作：★★★☆☆

貴人星座：射手座
幸運數字：2
吉時吉色：19:00-21:00蘭花紫
開運方位：正西方向

運勢提醒：
集中注意力，安全才是第一。

綜合運分析：
開車時千萬別分心，今天的意外指數偏高，小心受傷！感情需要醞釀，戀人對你的感覺還不錯，不妨約對方外出走走；花前月下，良辰美景，會讓彼此之間的磁場明顯增強。

愛情運分析：
感情運不太好，單身者別把過多精力花在憧憬浪漫的愛情上，投入工作會有更大的收穫！

事業運分析：
有許多事務需要你來處理，但你能樂觀面對。雖然進度較慢，但能得到理解。

財運分析：
在購物時要特別小心，別輕信促銷誘惑！小心上當受騙！




總運：★★☆☆☆
愛情：★★★☆☆
財運：★★☆☆☆
工作：★★☆☆☆

貴人星座：天秤座
幸運數字：9
吉時吉色：19:00-20:00嫩芽綠
開運方位：正南方向

運勢提醒：
運勢較低的一天，各方面都不太順意。

綜合運分析：
事務繁忙，沒有什麼時間與情人聚在一起。理財稍欠缺規劃，花費不小，會有點捉襟見肘的感覺，多考慮錢財的使用，不要盲目消費。工作帶來的負荷過重，會讓你有點心緒不寧，要注意調整。

愛情運分析：
單身者獲得愛情的運勢較弱，但可以多交異性朋友；戀愛中的人對戀人較挑剔。

事業運分析：
因工作常出小狀況，讓你覺得有小人作祟。其實只是你心裡在作怪罷了，調整好心態，專心工作吧！

財運分析：
錢財有點留不住，一出門就花錢，口袋雖然空了，但你好好享受了一番，也值得。




總運：★☆☆☆☆
愛情：★★☆☆☆
財運：★☆☆☆☆
工作：★★☆☆☆

貴人星座：天蠍座
幸運數字：9
吉時吉色：20:00-22:00湖水綠
開運方位：正西方向

運勢提醒：
不要冷落了另一半，感情要多加呵護。

綜合運分析：
已婚者雖然為改善生活而努力工作，但也要對另一半噓寒問暖。感情是基礎，動搖了根本可就得不償失。晚上有機會與另一半觀賞浪漫愛情劇，兩人都沉浸在劇情中，有助愛情升溫。

愛情運分析：
戀愛中的人掌控欲強烈，顯得固執已見，與戀人相處要小心一言不合而分手。

事業運分析：
今日事業運不太順，有點力不從心，找不到施力點，依照平日的進度規則運作就行了。

財運分析：
財氣混亂不穩定，在金錢上不宜輕舉妄動，任意胡為則損失隨之發生。




總運：★★☆☆☆
愛情：★★★☆☆
財運：★★☆☆☆
工作：★★☆☆☆

貴人星座：天秤座
幸運數字：7
吉時吉色：13:00-14:00石榴紅
開運方位：東北方向

運勢提醒：
出門機會多，注意安全。

綜合運分析：
今天在外活動要多留意財產、人身安全，開車、遊玩時小心一些，以免發生意外。在與異性交往時，別被對方的外表所迷惑，小心真心付出得不到回報。對於工作者而言，雖然會有人故意搗亂，但你多能一一應付。

愛情運分析：
感情運好壞參半，戀愛中的人小心有情敵出現，抽時間多陪陪戀人才好！

事業運分析：
工作不太順利，讓你很難提起勁頭。遇事時應冷靜分析才能更好地找出解決之道。

財運分析：
貪心的一天，要小心受騙機率飆高。




總運：★★★★★
愛情：★★★★★
財運：★★★★☆
工作：★★★☆☆

貴人星座：金牛座
幸運數字：3
吉時吉色：11:00-12:00萊姆黃
開運方位：正北方向

運勢提醒：
成功者與平庸者的區別在於相信自己。

綜合運分析：
對於新的任務會感到有些恐懼，不喜歡挑戰和改變，可被動接受只會讓你越做越糟；財運雖不錯，但承擔風險的能力卻不高，還是選擇保守的理財方式比較好；情人間有計畫的進行交流，打開彼此的心結，會讓愛情健康的成長。

愛情運分析：
愛情運旺旺，是個談情說愛的好日子，打扮得美美的去約會吧！單身者不妨好好裝扮一下，可以提升戀愛運。

事業運分析：
今日事業運平平，適合採取守成的策略！切記亂無章法的運作，否則忙壞了自己，也忙壞了其他同事。

財運分析：
開發財源的好日子。股票族的朋友可以採取短線進出的策略，見好就收！上班族只要積極地工作，也能得到應有的報酬。




總運：★★★★☆
愛情：★★★★☆
財運：★★★★☆
工作：★★★★☆

貴人星座：金牛座
幸運數字：1
吉時吉色：06:00-08:00燻鮭紅
開運方位：正北方向

運勢提醒：
幸運降臨，事事順心如意。

綜合運分析：
已婚者的感情生活多彩多姿，伴侶之間激情不斷，感覺又回到了熱戀時期。投資運上升，早期的投資計劃可望實施，占了天時地利人和，自然能水到渠成。工作中有不少的良機出現，是英雄就會有用武之地，卯足勁向前衝哦！

愛情運分析：
適合與情人約會或表白的一天，到充滿浪漫情調的餐廳約會效果更佳。

事業運分析：
工作上寬大為懷可獲得良好的發展，溝通時若言語太過尖銳則易影響人際關係。

財運分析：
財運不錯，易有驚喜！




總運：★★★★☆
愛情：★★★★★
財運：★★★☆☆
工作：★★★☆☆

貴人星座：摩羯座
幸運數字：8
吉時吉色：14:00-16:00脆梅青
開運方位：西南方向

運勢提醒：
事情都有美好的開端。

綜合運分析：
愛情機遇頗好，極易在街頭偶遇昔日心儀的對象，單身者若能大膽主動攀談，你們有所發展的機率很高哦；今天能嚐到勤儉節約帶來的甜頭；前段時間在工作上的辛苦耕耘，今天總算看到了一些希望！

愛情運分析：
這麼棒的好日子千萬別錯過了，快快安排郊外踏青的活動，在大自然中來場感性的精神交流吧！單身者別關在家裡，出門才有好機會！

事業運分析：
今日事業運平平，要注意不要為了感情問題而分心，凡事宜親力親為。

財運分析：
今日與錢特別有緣，滿腦子想著錢錢錢，有機會接觸有錢、有社會地位的人，不妨與他們談談理財投資之道。




總運：★★★★☆
愛情：★★★★★
財運：★★☆☆☆
工作：★★★★☆

貴人星座：射手座
幸運數字：9
吉時吉色：04:00-06:00夕陽橙
開運方位：正東方向

運勢提醒：
安心顧好自己，不要東想西想。

綜合運分析：
不要以為西餐廳才是富有浪漫的地方，過一個中西合璧的情人節也許更有味道；得遇貴人助力，工作上倍感輕鬆；財運不佳，若有「去賺外快」的想法還是趁早打住得好，不然得不償失的可是你哦！

愛情運分析：
戀情急速加溫的一天，鼓起勇氣示愛吧！

事業運分析：
多接納他人忠告，不要固執己見，尤其是專業機構調查、分析出的數據訊息，更要予以重視。

財運分析：
別把錢抓得太緊，花些錢讓自己高興、高興吧！




總運：★★☆☆☆
愛情：★★★☆☆
財運：★☆☆☆☆
工作：★★★☆☆

貴人星座：金牛座
幸運數字：3
吉時吉色：08:00-09:00古銅青
開運方位：東南方向

運勢提醒：
拋棄不切實際的想法，滿意快樂就會多一點。

綜合運分析：
今天對愛情有著強烈的衝動，單身者在表白前應多思考三秒，以免表錯情會錯意。財運方面阻力重重，感到有些力不從心，不宜決策或衝動投資。工作上適合外出拜訪客戶、拓展新客源，會有不錯的業績。

愛情運分析：
與異性接觸的機會多，但想要邂逅心儀的對象還需耐心等待，多表現你溫和的一面。

事業運分析：
工作中熱情洋溢，思維也特別的開闊，有機會接觸新的工作領域。

財運分析：
為了金錢勞心費神，想到錢就頭痛，少接觸金錢遊戲，包括股票、賭博在內，否則會搞得一身烏煙瘴氣。


【延伸閱讀】
●上升星座看未來？星座命盤免費算
●塔羅神占，你的戀情開花結果？
　

【更多命理分析，請前往 科技紫微網】"
"益生菌無益處 研究：人體吸收甚少","/news/story/7266/3359657","最新研究顯示，病患服用益生菌有一半的益生菌服用後便直接排洩出去，剩餘的益生菌只會短暫停留在腸道。(photo by wikimedia)分享  facebook   益生菌食物對健康影響小！過去益生菌被認為對腸道有益，但最新研究顯示，病患服用益生菌後，有一半的益生菌將直接排泄出去，剩餘的益生菌只會短暫停留在腸道，隨即被體內的微生物排出去，沒辦法被人體所吸收。領導該研究的研究員伊利內表示，益生菌不但對人體沒有多大益處，若和抗生素一起服用，還會產生壞的副作用。

《細胞》最新研究顯示，益生菌食物並沒有多大用處。過去益生菌被廣泛認為對腸道有益，但研究人員認為，益生菌對人體的影響很小，甚至沒有影響。該研究團隊利用11種常見的益生菌，如乳酸桿菌和雙歧桿菌，混合作了新的益生菌食品，並觀察病患服用的飲食狀況。但研究顯示，病患服用後有一半的益生菌便直接排泄出去，剩餘的僅在體內徘徊一陣子，隨即被體內的微生物排出去。

根據《BBC》報導，人體內的細胞相當龐雜，有超過一半是由微生物包括細菌、病毒、真菌所組成。伊利內說，外界期待益生菌能為每個人服務的觀念是錯誤的，未來益生菌需要根據患者的需求量身訂做。他們也研究了抗生素對益生菌造成的影響，結果顯示，抗生素不但會消滅壞的細菌，就連有益的細菌也消滅了。

伊利內強調，這項研究結果與目前的益生菌無害的觀念相反，若益生菌和抗生素一起服用可能帶來後果不堪的副作用。雖然益生菌已被證實有一些益處，特別是保護早產兒免於壞死性小腸結腸炎的問題，但微生物和人體的複雜關係仍待更多研究才能找到有效的治療方法。桑格研究所的微生物研究員羅蕾指出，益生菌過去存在很長的時間，也正接受嚴格的研究考驗，雖然腸道能夠阻止微生物侵蝕，阻止病原體入侵，但是否真會排擠益生菌仍有待觀察。
【更多精采內容，詳見】 "
"夫妻之間／現在，妳吃得下嗎？","/news/story/7272/3354932","老公是廚師，他很喜歡下廚，回到家最常問的是：「現在，妳吃得下嗎？」如果我說吃得下，他就會高興地進廚房，明明上班就很累了，我常捨不得，但老公說：「我累得很開心，只要妳吃得下。」
我的胃不太好，以前工作太勞累，有胃出血過，讓他很擔心，怕我會和鼻咽癌末期時吃不下東西的公公一樣。那時為了讓公公能吃下食物，他常半夜去抓螃蟹，如果有抓到，公公會開心地大快朵頤，雖然後期的治療讓公公無法嘗出味道，但他還是細細品嘗那些記憶中的滋味。
只要公公願意吃，老公就會不辭辛勞地去抓螃蟹，有時寒流來，我倆守在海邊等螃蟹入籠，冷得頻頻發顫，有時一無所獲，但只要有抓到螃蟹，看到公公笑臉，老公就會很安心。
如今公公往生兩年了，老公只要想到他，就會在下班後煮東西給我吃，我想，這也是公公帶給我的禮物。"
